,Title,Price,Rooms,Area,Floor,Building Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
0,2-комнатная квартира на продажу,83 875.2 у.е.,2,68.29 м²,10,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1
1,2-комнатная квартира на продажу,97 000 у.е.,2,66 м²,9,10,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бегубор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1-комнатная квартира на продажу,31 500 у.е.,1,25 м²,1,3,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Олмос, 3-й проезд Яккатол",0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1
3,3-комнатная квартира на продажу,115 000 у.е.,3,82 м²,4,4,Евроремонт,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик, улица Тараса Шевченко",1,0,1,1,0,0,1,0,0,0,0,1,1,1,1,1,1,1,1,1
4,3-комнатная квартира на продажу,100 000 у.е.,3,70 м²,2,4,Евроремонт,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,3-комнатная квартира на продажу,115 000 у.е.,3,94 м²,4,4,Авторский проект,Кирпичный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Навбахор, улица Мехр",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1-комнатная квартира на продажу,51 990.59 у.е.,1,42.33 м²,3,11,Черновая отделка,Монолитный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Хамал",1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,0,0,1,0,1
7,2-комнатная квартира на продажу,69 500 у.е.,2,63 м²,7,9,Средний,Монолитный,"город Ташкент, Шайхантахурский район, массив Хадра, улица Себзар",1,0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,1,1
8,1-комнатная квартира на продажу,30 500 у.е.,1,22 м²,1,1,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Инокобод, улица Инокобод",0,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1
9,3-комнатная квартира на продажу,175 000 у.е.,3,83 м²,4,10,Авторский проект,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Мирзо Улугбек, улица Ниёзбек Йули",1,1,1,1,0,1,1,0,0,1,0,1,0,0,1,1,1,0,1,1
10,3-комнатная квартира на продажу,76 500 у.е.,3,70 м²,2,4,Средний,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Ахилобод, улица Ниязбек",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,2-комнатная квартира на продажу,68 700 у.е.,2,45 м²,3,4,Евроремонт,Панельный,"город Ташкент, Чиланзарский район, махаллинский сход граждан Дилабад",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,2-комнатная квартира на продажу,46 000 у.е.,2,46.67 м²,1,3,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Ахмад Яссавий, улица Алимкент",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
