,Title,Price,Rooms,Land Area,Area,Floors,Condition,Material,Address,Lift,Security,Internet,Playground,Sauna,Sewerage,Fridge,Telephone Line,Separate Bathrooms,Surveillance,Pool,Water,Microwave,Parking,AC,TV,Washing Machine,Cable TV,Furniture,Gas
0,6+ комнатный частный дом на продажу,1 000 000 у.е.,,6.36 сот.,6.36 сот.,2,Авторский проект,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шалола, улица Икбол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6+ комнатный частный дом на продажу,405 000 у.е.,,12 сот.,12 сот.,3,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, населённый пункт Тешабайгузар, улица Ифтихор",0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
2,6+ комнатный частный дом на продажу,650 000 у.е.,,16 сот.,16 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Сергелийский район, махаллинский сход граждан Олтинводий, улица Аэропорт Худуди",0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
3,6+ комнатный частный дом на продажу,330 000 у.е.,6+,3.3 сот.,3.3 сот.,1,Средний,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бозсу, улица Богишамол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,6+ комнатный частный дом на продажу,540 000 у.е.,,7 сот.,7 сот.,3,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богишамол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,5-комнатный частный дом на продажу,230 000 у.е.,,2 сот.,2 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Мерос, улица Саади Сиражиддинова",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,5-комнатный частный дом на продажу,175 000 у.е.,5,3.91 сот.,3.91 сот.,1,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Карасу, Ферганская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,6+ комнатный частный дом на продажу,240 000 у.е.,6+,6 сот.,6 сот.,1,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,6+ комнатный частный дом на продажу,63 900 у.е.,6+,2.3 сот.,2.3 сот.,2,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жарбаши",0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
9,4-комнатный частный дом на продажу,99 500 у.е.,4,3 сот.,3 сот.,1,Авторский проект,Кирпичный,"Ташкентская область, городской посёлок Кашкарлик, улица Хаджы Аты",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,5-комнатный коттедж на продажу,130 000 у.е.,5,2.5 сот.,2.5 сот.,2,Черновая отделка,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Гуруч Арык, Малая кольцевая дорога",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,5-комнатный частный дом на продажу,135 000 у.е.,,3.2 сот.,3.2 сот.,1,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик",0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1
12,5-комнатный частный дом на продажу,265 000 у.е.,,3 сот.,3 сот.,1,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Турк Курган, улица Сандиккургон",0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1
13,4-комнатный коттедж на продажу,125 000 у.е.,,3 сот.,3 сот.,2,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Фазогир, улица Иззат",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,6+ комнатный частный дом на продажу,190 000 у.е.,,6 сот.,6 сот.,1,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жаркургон, улица Джаркурган",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
15,3-комнатный частный дом на продажу,65 000 у.е.,3,120 сот.,120 сот.,1,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Мухтор Ашрафий, улица Мухтара Ашрафи",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,6+ комнатный частный дом на продажу,250 000 у.е.,,7 сот.,7 сот.,1,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Фазогир",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,6+ комнатный частный дом на продажу,700 000 у.е.,,5.1 сот.,5.1 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Шайхантахурский район, махаллинский сход граждан Кукча, 7-й проезд Кургонча",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,6+ комнатный частный дом на продажу,205 000 у.е.,6+,6 сот.,6 сот.,2,Требует ремонта,Кирпичный,"Ташкентская область, населённый пункт Авлиё Ота, улица Хаваскор",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,6+ комнатный частный дом на продажу,500 000 у.е.,,3 сот.,3 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Ракат, улица Шох-Жахон",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,6+ комнатный частный дом на продажу,800 000 у.е.,,10 сот.,10 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Бобур, улица Абдуллы Каххара",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6+ комнатный частный дом на продажу,700 000 у.е.,,9 сот.,9 сот.,1,Евроремонт,Кирпичный,"город Ташкент, Учтепинский район, махаллинский сход граждан Нишаб-Арык, улица Дадила",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,4-комнатный коттедж на продажу,162 000 у.е.,,1 сот.,1 сот.,3,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Семург, улица Паркент",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,5-комнатный частный дом на продажу,75 000 у.е.,5,2.5 сот.,2.5 сот.,1,Средний,Кирпичный,"город Ташкент, Сергелийский район, массив Курувчи",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6+ комнатный частный дом на продажу,1 000 000 у.е.,,6.36 сот.,6.36 сот.,2,Авторский проект,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шалола, улица Икбол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6+ комнатный частный дом на продажу,1 000 000 у.е.,,6.36 сот.,6.36 сот.,2,Авторский проект,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Шалола, улица Икбол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6+ комнатный частный дом на продажу,405 000 у.е.,,12 сот.,12 сот.,3,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, населённый пункт Тешабайгузар, улица Ифтихор",0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
27,6+ комнатный частный дом на продажу,650 000 у.е.,,16 сот.,16 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Сергелийский район, махаллинский сход граждан Олтинводий, улица Аэропорт Худуди",0,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1
28,6+ комнатный частный дом на продажу,330 000 у.е.,6+,3.3 сот.,3.3 сот.,1,Средний,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Бозсу, улица Богишамол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6+ комнатный частный дом на продажу,540 000 у.е.,,7 сот.,7 сот.,3,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Богишамол",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,5-комнатный частный дом на продажу,230 000 у.е.,,2 сот.,2 сот.,2,Евроремонт,Кирпичный,"город Ташкент, Яккасарайский район, махаллинский сход граждан Мерос, улица Саади Сиражиддинова",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,5-комнатный частный дом на продажу,175 000 у.е.,5,3.91 сот.,3.91 сот.,1,Средний,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Карасу, Ферганская улица",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6+ комнатный частный дом на продажу,240 000 у.е.,6+,6 сот.,6 сот.,1,Требует ремонта,Кирпичный,"город Ташкент, Мирзо-Улугбекский район, махаллинский сход граждан Подшобог, улица Буюк Ипак Йули",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6+ комнатный частный дом на продажу,63 900 у.е.,6+,2.3 сот.,2.3 сот.,2,Средний,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жарбаши",0,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1,1,0
34,4-комнатный частный дом на продажу,99 500 у.е.,4,3 сот.,3 сот.,1,Авторский проект,Кирпичный,"Ташкентская область, городской посёлок Кашкарлик, улица Хаджы Аты",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5-комнатный коттедж на продажу,130 000 у.е.,5,2.5 сот.,2.5 сот.,2,Черновая отделка,Кирпичный,"город Ташкент, Алмазарский район, махаллинский сход граждан Гуруч Арык, Малая кольцевая дорога",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,5-комнатный частный дом на продажу,135 000 у.е.,,3.2 сот.,3.2 сот.,1,Авторский проект,Кирпичный,"город Ташкент, Мирабадский район, махаллинский сход граждан Мингурик",0,0,1,0,0,1,0,1,1,0,1,1,0,1,1,0,0,0,0,1
37,5-комнатный частный дом на продажу,265 000 у.е.,,3 сот.,3 сот.,1,Евроремонт,Кирпичный,"город Ташкент, Юнусабадский район, махаллинский сход граждан Турк Курган, улица Сандиккургон",0,0,1,0,0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,1
38,4-комнатный коттедж на продажу,125 000 у.е.,,3 сот.,3 сот.,2,Авторский проект,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Фазогир, улица Иззат",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6+ комнатный частный дом на продажу,190 000 у.е.,,6 сот.,6 сот.,1,Евроремонт,Кирпичный,"город Ташкент, Яшнободский район, махаллинский сход граждан Жаркургон, улица Джаркурган",0,0,1,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1
