,Title,Price,Land Area,Footprint,Area,Floors,Condition,Style,Province,District,Neighborhood
0,Турар жой,400 000 000 сум,1125.0,76.8,65.56,1,Қониқарли,Оддий,Бухоро вилояти,Вобкент тумани,Niyazxuja MFY
1,Турар жой,656 250 000 сум,300.0,165.0,267.29,2,Яхши,Оддий,Фарғона вилояти,Фарғона тумани,Ilg‘or MFY
2,Турар жой,656 250 000 сум,300.0,165.0,267.29,2,Яхши,Оддий,Фарғона вилояти,Фарғона тумани,Ilg‘or MFY
3,Турар жой,812 700 000 сум,300.0,165.0,267.29,2,Қониқарли,Оддий,Фарғона вилояти,Фарғона тумани,Ilg‘or MFY
4,Турар жой,280 000 000 сум,512.0,370.19,291.14,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Хўжайли тумани,Bunyodkor MFY
5,Турар жой,830 686 416 сум,600.0,278.63,283.8,2,Қониқарсиз,Оддий,Тошкент вилояти,Ангрен шаҳри,Obod MFY
6,Турар жой,549 360 000 сум,434.0,147.82,122.26,1,Қониқарли,Оддий,Тошкент вилояти,Ўртачирчиқ тумани,Ko‘kmuyin MFY
7,Турар жой,370 000 000 сум,600.0,132.55,102.24,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Altin jagis MFY
8,Турар жой,595 000 000 сум,400.0,136.69,228.02,2,Қониқарсиз,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Sarbinaz MFY
9,Турар жой,680 000 000 сум,480.0,184.08,204.03,2,Яхши,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Jipek joli MFY
10,Турар жой,380 000 000 сум,600.0,273.07,212.25,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Xaua joli MFY
11,Турар жой,323 400 000 сум,800.0,316.12,132.46,1,Қониқарли,Оддий,Тошкент вилояти,Чиноз тумани,Besh kapa MFY
12,Турар жой,190 000 000 сум,600.0,111.1,83.49,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Jana bazar MFY
13,Турар жой,253 050 000 сум,600.0,156.85,73.58,1,Қониқарсиз,Оддий,Сирдарё вилояти,Янгиер шахри,Fazilat MFY
14,Турар жой,1 290 000 000 сум,600.0,276.5,152.3,1,Яхши,Оддий,Навоий вилояти,Кармана тумани,Vark MFY
15,Турар жой,278 643 594 сум,3000.0,677.4,59.39,1,Қониқарли,Оддий,Сирдарё вилояти,Гулистон тумани,Shark xakikati MFY
16,Турар жой,316 047 060 сум,600.0,222.26,150.15,1,Қониқарли,Оддий,Сирдарё вилояти,Боёвут тумани,Yangi avlod MFY
17,Турар жой,420 000 000 сум,600.0,247.7,204.32,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Jiydeli baysin MFY
18,Турар жой,350 000 000 сум,600.0,192.78,152.84,1,Қониқарли,Оддий,Қорақолпоғистон Республикаси,Нукус шаҳри,Taslak MFY
19,Турар жой,650 000 000 сум,600.0,171.0,92.41,1,Қониқарли,Оддий,Жиззах вилояти,Шароф Рашидов тумани,Uch tepa MFY
20,Турар жой,850 000 000 сум,556.31,228.4,96.35,1,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Zilol MFY
21,Турар жой,720 000 000 сум,300.0,142.8,100.2,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Gulira‘no MFY
22,Турар жой,450 000 000 сум,700.0,215.05,129.57,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз тумани,Xalkobod MFY
23,Турар жой,431 250 000 сум,600.0,399.66,159.93,1,Қониқарли,Оддий,Жиззах вилояти,Жиззах шаҳри,Xamid Olimjon MFY
24,Турар жой,680 000 000 сум,640.0,306.0,284.79,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз шаҳри,Alisher Navoiy MFY
25,Турар жой,1 000 000 000 сум,700.0,156.48,226.5,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз тумани,Kaxramon MFY
26,Турар жой,700 000 000 сум,137.84,90.03,132.42,2,Яхши,Оддий,Хоразм вилояти,Урганч тумани,Oq ariklar MFY
27,Турар жой,268 750 000 сум,1240.0,348.22,114.14,1,Яхши,Оддий,Тошкент вилояти,Юқоричирчиқ тумани,Kangli MFY
28,Турар жой,367 500 000 сум,600.0,159.53,135.57,1,Қониқарли,Оддий,Сурхондарё вилояти,Термиз тумани,Yangiobod MFY
