,Title,Price,Rooms,Area,Floor,Building floors,Condition,Style,Province,District,Neighborhood
0,Кўп қаватли турар жой,696 080 000 сум,3.0,103.48,1.0,6.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Tarakkiyot MFY
1,Ko‘p qavatli ko‘p kvartirali turar-joy qurilishi,290 000 000 сум,2.0,46.0,4.0,4.0,Қониқарли,Оддий,Қашқадарё вилояти,Қарши шаҳри,A.Temur MFY
2,Кўп қаватли турар жой,550 000 000 сум,2.0,66.61,6.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
3,Кўп қаватли турар жой,264 468 750 сум,4.0,73.17,1.0,5.0,Қониқарли,Оддий,Тошкент вилояти,Янгийўл шаҳри,Mustakillik MFY
4,Кўп қаватли турар жой,310 000 000 сум,2.0,42.62,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,O‘zbekiston MFY
5,Кўп қаватли турар жой,1 250 000 000 сум,5.0,88.0,1.0,5.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Yoshlik MFY
6,Ko‘p qavatli ko‘p kvartirali turar-joy qurilishi,405 000 000 сум,2.0,54.24,4.0,7.0,Яхши,Оддий,Сурхондарё вилояти,Термиз шаҳри,Bogishamol MFY
7,Кўп қаватли турар жой,320 000 000 сум,1.0,40.36,1.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Navruz MFY
8,Кўп қаватли турар жой,350 000 000 сум,1.0,36.91,4.0,4.0,Қониқарли,Оддий,Навоий вилояти,Зарафшон шаҳри,Tinchlik MFY
9,Кўп қаватли турар жой,191 625 000 сум,1.0,31.1,3.0,4.0,Қониқарли,Оддий,Тошкент вилояти,Бўстонлиқ тумани,Fazogir MFY
10,Кўп қаватли уйдаги хонадон,233 860 000 сум,3.0,68.48,1.0,2.0,Қониқарли,Оддий,Тошкент вилояти,Оҳангарон шаҳри,Oxunboboev MFY
11,Кўп қаватли турар жой,415 800 000 сум,3.0,80.42,1.0,5.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Istiklol MFY
12,Кўп қаватли турар жой,711 819 785 сум,4.0,96.43,2.0,4.0,Яхши,Оддий,Сирдарё вилояти,Гулистон шаҳри,Namuna MFY
13,Кўп қаватли турар жой,300 000 000 сум,2.0,40.85,1.0,2.0,Яхши,Оддий,Жиззах вилояти,Зомин тумани,Sh.Rashidov MF
14,Кўп қаватли турар жой,512 820 000 сум,6.0,148.64,1.0,4.0,Яхши,Оддий,Тошкент вилояти,Янгийўл шаҳри,Ramadon MFY
15,Кўп қаватли турар жой,255 000 000 сум,1.0,44.0,4.0,5.0,Қониқарсиз,Оддий,Навоий вилояти,Зарафшон шаҳри,Yulduz MFY
16,Кўп қаватли турар жой,480 000 000 сум,2.0,56.8,5.0,7.0,Яхши,Оддий,Навоий вилояти,Зарафшон шаҳри,Geolog MFY
